Start_Year,Incident__,Begin_Time,Incident_Type,City,Property_Classification,Response_Type,Act_or_Omission__Cause_,Material_First_Ignited,Igniting_Object,Drive_Time,Start_Hr,First_Enroute,First_At_Scene,Under_Control,Time_UC,FID
2001,671,3/10/2001 11:55:58 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,387,11,3/10/2001 11:58:19 AM,3/10/2001 12:03:11 PM,,,1
2001,717,3/15/2001 6:16:38 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,91  Chimney fire - masonary,92  Creosote in chimney,"26  Chimney, masonry",281,18,3/15/2001 6:18:18 PM,3/15/2001 6:22:11 PM,3/15/2001 6:57:34 PM,00:35:23,2
2001,858,3/31/2001 3:56:35 PM,100  Structure Fire,McLeod Hill,"799  Misc. storage, unclassified",10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,440,15,3/31/2001 3:59:46 PM,3/31/2001 4:06:08 PM,3/31/2001 4:21:10 PM,00:15:02,3
2001,1145,4/26/2001 4:37:17 PM,100  Structure Fire,Charters Settlement,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,612,16,4/26/2001 4:39:35 PM,4/26/2001 4:49:42 PM,4/26/2001 6:29:22 PM,01:39:40,4
2001,1264,5/3/2001 11:01:41 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,20  Misuse...Cannot be determined,42  Wood Shavings,98  Chemical reaction/spon comb,75,11,5/3/2001 11:03:13 AM,5/3/2001 11:04:06 AM,5/3/2001 11:15:03 AM,00:10:57,5
2001,1351,5/9/2001 9:40:05 PM,100  Structure Fire,Fredericton,"679  Wearing apparel, footware",10  Fire (explosion)-dollar loss,11  Incendiary fire,53  Combustible Liquids f.p.>100 F,00  Object cannot be determined,136,21,5/9/2001 9:41:23 PM,5/9/2001 9:43:05 PM,5/9/2001 11:42:06 PM,01:59:01,6
2001,1399,5/14/2001 6:27:13 AM,100  Structure Fire,Fredericton,419  Office,10  Fire (explosion)-dollar loss,,,,1465,6,5/14/2001 6:32:17 AM,5/14/2001 6:54:02 AM,,,7
2001,1466,5/21/2001 9:34:52 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,42 Automatic control failure,41  Wood,"16  Toaster, waffle iron",221,9,5/21/2001 9:38:40 AM,5/21/2001 9:39:23 AM,5/21/2001 9:40:19 AM,00:00:56,8
2001,1527,5/27/2001 11:55:10 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,21  Smokers material,38  Tarpaulin/plastic/cloth,71  Smoker's mat/cigarettes/match,465,23,,5/28/2001 12:06:54 AM,,,9
2001,1561,5/31/2001 3:36:49 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,74  Accident,19  Struct Components unclassed,"99  Igniting Object,unclassified",142,3,5/31/2001 3:38:40 AM,5/31/2001 3:39:45 AM,5/31/2001 4:39:28 AM,00:59:43,10
2001,1885,6/30/2001 1:28:44 AM,100  Structure Fire,Maugerville,"311  Dwell,year round use 1 family",65  Public service(mutual aid),,,00  Object cannot be determined,866,1,6/30/2001 1:32:47 AM,6/30/2001 1:44:29 AM,,,11
2001,1887,6/30/2001 7:20:03 AM,100  Structure Fire,Fredericton,429  Personal service,10  Fire (explosion)-dollar loss,13  Suspicious,46  Waste paper,00  Object cannot be determined,84,7,6/30/2001 7:33:43 AM,6/30/2001 7:22:33 AM,6/30/2001 7:49:29 AM,00:26:56,12
2001,2046,7/12/2001 5:37:49 PM,100  Structure Fire,Fredericton,"399  Residential, misc",10  Fire (explosion)-dollar loss,78  Distracted / preoccupied,"05  Floor covering, wood",49  Appliance unclassified,153,17,7/12/2001 5:39:30 PM,7/12/2001 5:41:16 PM,7/12/2001 6:13:17 PM,00:32:01,13
2001,2155,7/23/2001 4:36:58 PM,100  Structure Fire,Fredericton,"314  Dwell,year round use 2 family",10  Fire (explosion)-dollar loss,43 Manual control failure,41  Wood,"16  Toaster, waffle iron",435,16,7/23/2001 4:40:37 PM,7/23/2001 4:46:19 PM,,,14
2001,2275,8/2/2001 6:36:32 PM,100  Structure Fire,Fredericton,"159  Club,sports, social",10  Fire (explosion)-dollar loss,74  Accident,99  Material 1st ignited - unclass,04  Stove top (other circumstnces,143,18,8/2/2001 6:38:15 PM,8/2/2001 6:39:49 PM,8/2/2001 6:47:57 PM,00:08:08,15
2001,2391,8/13/2001 10:38:03 PM,100  Structure Fire,Fredericton,"325  Apt,twnhouse 20+ units",10  Fire (explosion)-dollar loss,75  Impaired by drugs/alcohol/med,48  Paper Stock,00  Object cannot be determined,225,22,8/13/2001 10:40:28 PM,8/13/2001 10:43:38 PM,8/13/2001 10:46:52 PM,00:03:14,16
2001,2653,9/8/2001 9:34:39 PM,100  Structure Fire,Fredericton,"349  Hotel,Inn,Lodge (Interior Ent)",12  Rubbish/grass fire-no $ loss,53  Installed to close to combustib,09  Wall component structure,"65  Lighting fixture, incandescen",234,21,9/8/2001 9:37:07 PM,9/8/2001 9:40:07 PM,,,17
2001,2681,9/13/2001 10:35:48 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,11  Incendiary fire,21  Upholstered furniture,00  Object cannot be determined,271,22,9/10/2001 10:37:46 PM,9/10/2001 10:41:21 PM,9/10/2001 10:53:26 PM,00:12:05,18
2001,2692,9/11/2001 10:42:22 PM,100  Structure Fire,Lower St Marys,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,,"30  Clothing, cannot be determined",,0,22,9/11/2001 10:43:56 PM,,,00:00:00,19
2001,2767,9/18/2001 11:50:34 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,"36  Overheated cooking oil, grease",56  Oil cooking/lard/grease/butter,"02  Stove top, fire in pan",163,11,9/18/2001 11:53:33 AM,9/18/2001 11:54:41 AM,9/18/2001 12:17:15 PM,00:22:34,20
2001,2962,10/9/2001 9:10:54 PM,100  Structure Fire,Fredericton,"349  Hotel,Inn,Lodge (Interior Ent)",12  Rubbish/grass fire-no $ loss,74  Accident,01  Roof covering - wood,77  Torch other than cut/welding,205,21,10/9/2001 9:13:21 PM,10/9/2001 9:15:54 PM,10/9/2001 9:25:57 PM,00:10:03,21
2001,2963,10/9/2001 11:13:32 PM,100  Structure Fire,Birdton,"311  Dwell,year round use 1 family",65  Public service(mutual aid),,,00  Object cannot be determined,936,23,10/9/2001 11:14:56 PM,10/9/2001 11:30:30 PM,,,22
2001,3002,10/13/2001 8:42:47 AM,100  Structure Fire,Fredericton,371  Mobile homes - mobile buildgs,10  Fire (explosion)-dollar loss,21  Smokers material,99  Material 1st ignited - unclass,71  Smoker's mat/cigarettes/match,253,8,10/13/2001 8:44:30 AM,10/13/2001 8:48:00 AM,,,23
2001,3077,10/19/2001 5:37:52 PM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,"36  Overheated cooking oil, grease",56  Oil cooking/lard/grease/butter,"02  Stove top, fire in pan",121,17,10/19/2001 5:39:23 PM,10/19/2001 5:40:56 PM,,,24
2001,3216,11/1/2001 1:50:43 AM,100  Structure Fire,Stanley,129  Amusement rec place - unclasf,65  Public service(mutual aid),13  Suspicious,99  Material 1st ignited - unclass,"99  Igniting Object,unclassified",0,1,11/1/2001 1:53:36 AM,,11/1/2001 4:04:44 AM,04:04:44,25
2001,3488,11/25/2001 8:31:55 PM,100  Structure Fire,Fredericton,939  Misc. Outbuildings,12  Rubbish/grass fire-no $ loss,10  Cannot be determined,00  Cannot be determined,00  Object cannot be determined,344,20,11/25/2001 8:33:38 PM,11/25/2001 8:38:36 PM,11/25/2001 10:03:31 PM,01:24:55,26
2001,3635,12/10/2001 1:57:21 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",65  Public service(mutual aid),10  Cannot be determined,,"99  Igniting Object,unclassified",875,1,12/10/2001 1:58:26 AM,12/10/2001 2:12:57 AM,,,27
2001,3748,12/22/2001 1:00:05 AM,100  Structure Fire,Fredericton,"639  Metal, Electrical and Applianc",10  Fire (explosion)-dollar loss,72  Temporary loss of judgement,13  Ceiling cover/wood-prod hi de,29  Other than listed,365,1,12/22/2001 1:03:02 AM,12/22/2001 1:08:08 AM,12/22/2001 1:58:38 AM,00:50:30,28
